id,name,description,exercise_type,default_duration,muscle_groups,base_tags,benefits,limitations,suggested_combinations,catalogs
side-stretch,Side Stretch,Reach arm overhead and bend to the side.,time_based,20,flexibility|obliques|back,,"Lengthens the lateral muscles of the torso including obliques, intercostals (muscles between ribs), and latissimus dorsi. Improves lateral flexion of the spine, which is often neglected in daily movements. Opens up the side body, creating space in the ribcage for deeper breathing. Can help improve posture by counteracting the forward slump from desk work. Often provides relief from bloating and menstrual cramps through gentle stretching of abdominal muscles. Releases tension in the lower back and sides.","Avoid if you have acute lower back pain, especially pain that radiates. Move gently and never force the stretch—stop at your natural range. If you have osteoporosis, be cautious with spinal flexion movements. Those with shoulder issues should keep the reaching arm lower or skip if painful. Don't lean forward or back—keep the stretch purely lateral. Stop if you feel sharp pain or discomfort.",seated-spinal-twist|cat-cow,women-health
marching-in-place,Marching in Place,March on the spot; lift knees.,time_based,60,cardio|legs,,"Low-impact cardiovascular exercise that gently raises heart rate and improves circulation throughout the body. Excellent for warming up muscles before exercise or for gentle cardio on rest days. Engages hip flexors, quads, and core muscles. Helps combat fatigue by increasing blood flow and oxygenation. Particularly beneficial during PMS when energy is low—it can boost mood and reduce fatigue. Safe for most fitness levels and requires no equipment. Can help reduce leg swelling from prolonged sitting.","Avoid if you have acute hip or knee pain that worsens with movement. If balance is a concern, perform near a wall or counter for support. Those with very low fitness should start with just 20-30 seconds and build up. If you feel dizzy, slow down or take a break. People with joint replacements should ensure movements are pain-free. Not suitable during acute injury flare-ups.",arm-circles|step-touch,women-health
step-touch,Step Touch,Step side-to-side; light touch.,time_based,60,cardio|legs,,"Gentle cardiovascular exercise that raises heart rate without high impact. Improves coordination and rhythm through side-to-side movement. Engages hip abductors and legs while being easy on the joints. Excellent for maintaining cardiovascular fitness when recovering from injury or during low-energy days. Can improve lateral movement patterns and agility. Safe and accessible for most fitness levels, including beginners, older adults, and those with joint concerns.","Avoid if you have severe hip or knee pain that worsens with lateral movement. If balance is an issue, reduce the range of stepping or perform near a support. Those with acute ankle sprains should wait until healed. Not suitable during severe arthritis flare-ups. Generally very safe, but stop if you feel any sharp joint pain. Wear supportive footwear if on hard surfaces.",marching-in-place|arm-circles,women-health
jumping-jacks-modified,Jumping Jacks (Modified),Step side and raise arms (no jump).,time_based,30,cardio|legs|shoulders,,"Provides cardiovascular benefits of jumping jacks without the high impact of jumping. Elevates heart rate while being gentle on joints, making it accessible for seniors, those with joint issues, or anyone recovering from injury. Engages both upper and lower body simultaneously through coordinated arm and leg movements. Improves coordination and balance. Strengthens shoulders and legs through repeated motion. Excellent for maintaining fitness during periods when high-impact exercise isn't appropriate.","Avoid if you have severe hip, knee, or shoulder pain. Even without jumping, lateral stepping may aggravate some joint conditions—modify range as needed. If shoulder mobility is limited, reduce arm range or keep hands lower. Those with balance concerns should perform near a wall or chair for support. Stop if you feel any joint pain or excessive fatigue. Generally very safe due to low-impact nature.",marching-in-place|step-touch,women-health
side-steps-cardio,Side Steps,Rhythmic side-to-side stepping.,time_based,60,cardio|glutes|legs,,"Combines cardiovascular conditioning with lateral movement training. Specifically targets the gluteus medius and hip abductors, which are crucial for hip stability and preventing knee problems. Improves coordination and lateral agility through rhythmic side-to-side motion. Low-impact nature makes it joint-friendly while still elevating heart rate. Helps strengthen stabilizing muscles that are often weak and can contribute to falls. Particularly beneficial for seniors and those focusing on functional fitness. Can help improve walking stability and balance.","Avoid if you have acute hip or knee pain that worsens with lateral movement. Those with ankle instability should move carefully and may need ankle support. If balance is a concern, reduce the size of steps or perform near a wall for support. People with hip bursitis should check if lateral movements aggravate symptoms. Stop if you feel sharp pain in hips, knees, or ankles. Generally very safe due to controlled, low-impact nature.",marching-in-place|step-touch,women-health
seated-cardio-arm-pumps,Seated Cardio (Arm Pumps),Seated marching with arm pumps.,time_based,60,cardio|shoulders,,"Provides cardiovascular benefits and raises heart rate while remaining seated, making it accessible for people with mobility limitations, recent surgery, or severe joint issues. Engages upper body muscles including shoulders, arms, and upper back through the pumping arm movements. Activates hip flexors and core through the marching motion. Excellent for improving circulation in the legs, which is particularly important during long periods of sitting like flights, car trips, or desk work—helps prevent blood pooling and reduces risk of deep vein thrombosis (DVT). Increases energy levels and combats fatigue without requiring standing or complex movements. Particularly valuable for older adults, postoperative patients, wheelchair users, or anyone with lower-body limitations who still wants to maintain cardiovascular fitness. Can help reduce leg swelling and the heavy feeling from prolonged sitting.","Avoid if you have severe shoulder pain, rotator cuff tears, or acute upper-body injuries that worsen with arm movement. Those with very low cardiovascular fitness or recent cardiac events should start with just 20-30 seconds and gradually build duration. If you have uncontrolled high blood pressure, monitor intensity and stop if you feel dizzy, lightheaded, or experience chest discomfort. People with severe balance issues should ensure their chair is stable and won't tip. Those recovering from surgery should get medical clearance about appropriate intensity and whether this exercise is safe for their recovery stage. Stop if you experience unusual shortness of breath, chest pain, or dizziness. Generally very safe due to seated, low-impact nature.",seated-spinal-twist|arm-circles,"women-health,women-health"
dance-moves-basic,Dance Moves (Basic),Simple rhythmic steps to music.,time_based,90,cardio|full-body|flexibility,,"Improves mood, cardio, and flexibility.",Avoid with dizziness.,arm-circles|side-steps-cardio,women-health
heel-to-toe-walk,Heel-to-Toe Walk,"Walk in a straight line, heel to toe.",repetition_based,1.2,balance|legs|core,,"Significantly improves balance, coordination, and proprioception (body awareness in space) through a challenging narrow base of support. Strengthens stabilizing muscles in the ankles, knees, hips, and core that are essential for preventing falls. Highly functional exercise that directly translates to better balance during daily activities like walking on uneven surfaces, navigating stairs, or catching yourself if you trip. Particularly valuable for fall prevention in older adults—studies show that balance training like heel-to-toe walking can reduce fall risk by up to 30%. Helps improve gait (walking pattern) and stride length, which often decline with age. Engages the vestibular system (inner ear balance), visual system, and proprioceptive system simultaneously, training all three balance systems. Can help identify balance issues early—if you find this very difficult, it may indicate need for more balance training or medical evaluation.","Avoid if you have active vertigo, severe dizziness, or inner ear problems without medical clearance—this narrow walking pattern can trigger symptoms. Those with significant balance impairments, recent falls, or fear of falling should perform this exercise near a wall, railing, or with a spotter where they can reach for support if needed. Not suitable during acute ankle sprains or knee injuries when weight-bearing is painful. People with neuropathy (numbness in feet) should be very cautious as reduced foot sensation makes balance more challenging. Those with significant vision problems should ensure the path is clear and well-lit. Stop immediately if you feel dizzy, lose your balance repeatedly, or experience unusual symptoms. Start with just 5-6 steps and build gradually—this is harder than it looks.",single-leg-stand|calf-raises,"women-health,women-health"
balance-hold-arm-raise,Balance Hold with Arm Raise,Single-leg balance while raising arms overhead.,time_based,18,balance|legs|core|shoulders,,"Improves balance, posture, and strength.",Avoid with shoulder pain.,calf-raises|arm-circles,women-health
tandem-balance,Tandem Balance,Stand heel-to-toe and hold balance.,time_based,25,balance|legs|core,,Improves balance and focus.,Avoid with dizziness.,single-leg-stand|heel-to-toe-walk,women-health
chair-posture-hold,Chair Posture Hold,Sit upright with neutral spine; hold posture.,time_based,45,core|back,,Improves posture awareness and core endurance.,Avoid with acute back pain.,seated-spinal-twist|shoulder-rolls,women-health
pelvic-tilts,Pelvic Tilts,Lie on back; gently tilt pelvis upward.,repetition_based,2,core|back,,"Gentle exercise that strengthens deep core muscles and lower back while improving pelvic alignment. Helps develop awareness of pelvic positioning and spinal movement. Excellent for postpartum recovery, helping reconnect with core muscles and pelvic floor after pregnancy and delivery. Can alleviate lower back pain by teaching proper pelvic positioning and engaging core stabilizers. Improves posture by addressing anterior pelvic tilt. The rocking motion can provide gentle relief for lower back tension and stiffness. Strengthens the connection between breath and core engagement.","Avoid during acute lower back pain flare-ups or spinal injury—wait until symptoms subside. If lying flat causes discomfort, place a pillow under knees for support. Those with sacroiliac joint dysfunction should move gently and stop if it aggravates symptoms. Pregnant women should get clearance, especially in later stages. If you feel any sharp pain or discomfort, reduce range of motion or stop. Generally very safe and gentle when performed correctly.",glute-bridges|cat-cow,women-health
kegel-exercise,Kegel Exercise,Contract and relax pelvic floor muscles.,repetition_based,1.5,core,,Strengthens pelvic floor.,Avoid with urinary infection.,pelvic-tilts|glute-bridges,women-health
gentle-yoga-menstrual,Gentle Yoga Flow (Menstrual),Light sequence of relaxing yoga poses.,time_based,480,flexibility|core|back,,Relieves cramps and promotes relaxation.,Avoid if pain is severe; consult clinician.,cat-cow|seated-spinal-twist,women-health
breathing-exercise,Breathing Exercise,Slow deep belly breathing.,time_based,150,core,,Reduces stress; improves oxygenation.,Stop if dizziness occurs.,gentle-yoga-menstrual|seated-spinal-twist,women-health
prenatal-stretch,Prenatal Stretch,Gentle hip/leg stretches suitable for pregnancy.,time_based,480,flexibility|hips|legs|back,,Relieves common pregnancy discomforts.,Only with clinician approval.,pelvic-tilts|breathing-exercise,women-health
postnatal-core,Postnatal Core,Gentle core re-activation sequence.,repetition_based,2,core|back,,Helps restore core strength postpartum.,Avoid too soon after birth; seek clearance.,pelvic-tilts|glute-bridges,women-health
lying-back-extension,Lying Back Extension,Lie face down and lift your upper body off the floor by contracting your lower back muscles.,repetition_based,,lower-back|glutes|core,,"Strengthens the lower back (erector spinae) and glutes, which helps improve posture and spinal support. Builds foundational back strength for more demanding exercises, and can reduce risk of lower back pain by targeting key stabilizer muscles.","Avoid overextending the spine or jerking upwards, which can strain the back. Keep movements controlled. Individuals with existing lower back injuries should start with gentle range of motion or consult a professional before doing this exercise.",bird-dog|glute-bridges,women-health
front-plank-toe-tap,Front Plank Toe Tap,"Hold a forearm plank position while alternating each foot out to the side and back in, tapping the toe on the floor.",time_based,30,core|abs|shoulders|glutes,,"Engages the entire core with added emphasis on the obliques and deep stabilizers due to the leg motion. The alternating toe taps also activate glutes and hip abductors, and involve upper-body stabilization (shoulders and arms), making it a more challenging plank variation for improved core strength and balance.","Maintain a stable trunk; avoid rotating or lifting your hips as you move your foot, which can compromise form. Those with shoulder or lower back issues should be cautious and may need to perform a basic plank instead. Quality is more important than speed; perform taps slowly to keep the core engaged.",plank|side-plank,women-health
plank-cross-body-touch,Plank Cross Body Touch,"From a front plank position, lift one hand to reach toward the opposite foot, tapping if possible, then return to plank and alternate sides.",repetition_based,,core|obliques|shoulders|hips|lower-back,,"Strengthens the entire core with emphasis on obliques and deep stabilizers while also engaging shoulders and hips. The cross-body reach improves coordination, balance, and rotational stability. Helps build functional strength useful for sports, daily movement, and posture control.","Requires solid plank stability and shoulder control. People with wrist, shoulder, or lower-back issues should modify by limiting reach range or performing from a high plank on an elevated surface. Avoid rotating excessively—keep hips aligned and core braced to prevent lower-back strain.",front-plank-toe-tap|bird-dog|plank,general-fitness
crab-twist-toe-touch,Crab Twist Toe Touch,"From a crab bridge position, lift one hand to touch the opposite foot, twisting your torso, then alternate sides.",repetition_based,,core|obliques|shoulders|glutes|triceps,,"This full-body move builds core strength (especially the abs and obliques) while also working glutes and shoulders. It improves stability and coordination as you balance on one hand and opposite foot, and increases flexibility through the twisting motion and hamstring reach. Also elevates heart rate, adding a mild cardio component.",Requires shoulder and wrist stability; those with shoulder or wrist problems should modify (keep hips lower or limit range of reach). Avoid dropping hipskeep your glutes engaged to maintain the bridge. Move in a controlled manner to avoid strain; don't worry if you can't touch your toe at first (reach as far as comfortable).,crab-twist-toe-touch|bird-dog,women-health
standing-side-crunch,Standing Side Crunch,"Stand upright and bend sideways at the waist, bringing your upper body toward your hip on one side, then return to center and repeat on the other side.",repetition_based,,core|obliques|abs,,"Emphasizes the oblique muscles by working them through lateral flexion of the spine. This exercise helps strengthen the sides of your abdominals, contributing to a more stable core and better side-bending mobility. Because it's done standing, it also engages your legs slightly for balance and can improve functional movement (bending to the side) useful in daily activities.","Avoid leaning forward or backward the movement should be purely sideways. Do not jerk or bounce; use a controlled motion to prevent strain in the lower back. Individuals with lower back issues should bend only within a comfortable range. If balance is an issue, you can do this near a wall for support.",side-stretch|standing-side-crunch,women-health
bodyweight-side-squat-step,Bodyweight Side Squat Step,"Step out to the side into a squat, lowering your hips back and down, then push back up and step feet together. Alternate or repeat on the same side as required.",repetition_based,,quads|glutes|hamstrings|adductors,,"Strengthens the major muscles of the lower body, particularly the quadriceps, glutes, and hamstrings, while also engaging the inner thighs (adductors) due to the lateral movement. Side squats improve hip and groin flexibility and develop lateral movement capability, which is often neglected. This exercise can help balance muscle development between inner and outer thighs and enhance stability in side-to-side motions.","Keep your knee tracking in line with your toes when you squat to the side (do not let it cave inward). Those with knee issues should start with a shallow squat or smaller step. Maintain an upright chest and flat back to avoid back strain. If balance is difficult, perform the movement with a shorter step or hold onto a stable object for support.",lunges|standing-side-crunch,women-health
hip-roll-plank,Hip Roll Plank,"From a forearm plank, rotate your hips and lower one side toward the floor, then lift back up and rotate to the other side (plank hip dips).",repetition_based,,core|obliques|abs|shoulders,,"Targets the obliques by adding a twisting motion to a standard plank, thus strengthening the sides of the core and improving spinal mobility in a controlled manner. Also challenges the deep core stabilizers and lower back as you fight to keep control during each dip. Shoulders and upper body benefit from holding the plank position throughout, building endurance in those areas. Overall, it enhances core stability with an element of rotational strength.","Ensure the movement comes from your hips and core, not by swinging your arms. Avoid letting your hips sag too low as you rotate, which can strain the lower back maintain a slight tuck of the pelvis. Individuals with lower back or spine issues should twist only within a pain-free range or omit the rotation. As this is an advanced plank variation, build a solid basic plank first.",side-plank|bicycle-crunches,women-health
bodyweight-pulse-squat,Bodyweight Pulse Squat,Lower into a squat and hold the bottom position while performing small pulses up and down.,repetition_based,,quads|glutes,,"Keeps constant tension on the quadriceps and glutes, which helps build muscular endurance and a deep burn that can contribute to muscle toning. Pulse squats also improve your ability to maintain proper squat form under fatigue and strengthen the muscles and connective tissues around the knees through the extended time under tension. This exercise is excellent for finishing off a leg workout to fully fatigue the thighs.","Pulsing in a deep squat can be tough on the knees if done excessively or with poor form ensure your knees are tracking in line with your toes and not jutting far past them. Keep the range of the pulse moderate (avoid bouncing at the extreme bottom). Individuals with knee pain should use a higher squat position or avoid pulses. As with any squat, maintain a neutral spine (chest up, back flat).",wall-sit|squats,women-health
side-plank-rotation,Side Plank Rotation,"Begin in a side plank (forearm on the ground). Rotate your torso downward, reaching your top arm under your body, then rotate back to side plank with your top arm raised.",repetition_based,,core|obliques|shoulders,,"Combining a side plank with a twisting motion strengthens arms, shoulders, and obliques. It enhances core stability and upper body strength by adding dynamic rotation to the side plank.","This is an advanced exercise; you should be comfortable holding a basic side plank first. Avoid dropping your hips as you rotate maintain a straight line. Those with shoulder issues should proceed cautiously, as the supporting shoulder bears significant load (consider doing it on your elbow or lowering the hips for a modification). Control the rotation to avoid torqueing the lower back.",plank|bicycle-crunches,general-fitness
kneeling-backward-hip-circles,Kneeling Backward Hip Circles,"On hands and knees, extend one leg back and make large circular motions with that leg going backward, making hip circles.",repetition_based,,glutes|hips|core,,"Increases hip joint mobility by taking the hip through a wide range of motion. It warms up and loosens the gluteal muscles and hip rotators, which can improve performance in squats, kicks, and other lower-body exercises. This move also engages the core for stability (preventing torso movement as the hip moves), thereby gently strengthening abdominal muscles and lower back in a stabilizing role. Overall, it aids in improving hip flexibility and can help reduce stiffness in the hip and lower back region.","Keep the rest of your body still; avoid swaying your lower back or shoulders as you make the circle the motion should isolate the hip. If you have hip impingement or pain, make smaller circles within a comfortable range. Ensure your supporting knee is on a cushioned surface to avoid discomfort. People with knee issues can place a pad under the knee or perform a standing version (leg swings) if kneeling is problematic.",cat-cow|high-knees,general-fitness
lying-floor-abduction,Lying Floor Abduction & Adduction,Lie on your back with legs extended up toward the ceiling and open your legs outward (abduction) then bring them back together (adduction).,repetition_based,,adductors|hips|core,,"Strengthens the inner thigh muscles (adductors) as they work to pull the legs back together against gravity. Also engages the outer hip muscles during the opening phase and challenges the lower abs and core to stabilize the pelvis while the legs move. This exercise can improve hip flexibility and stability, and tone the inner thighs, which supports better knee alignment and overall leg strength.","Press your lower back into the floor as much as possible to protect your spine if you feel your back arching or straining, limit the range of motion or bend your knees slightly. Avoid rapid or uncontrolled leg movements; move smoothly to prevent groin strain. If any pain in the hips or lower back occurs, reduce range or discontinue.",glute-bridges|lying-floor-abduction,general-fitness
balance-board,Balance Board,"Stand on a balance board and try to maintain your balance, keeping the board as level as possible.",time_based,30,core|legs,,"Improves proprioception (body awareness) and balance by engaging the stabilizer muscles in your ankles, knees, and hips. Strengthens the lower leg muscles (ankles and calves) and activates the core as you constantly adjust to keep the board level. Regular practice can help prevent ankle injuries and improve overall coordination, benefiting athletic activities and everyday stability (like walking on uneven ground).",Ensure the area around you is clear of hazards in case you step or fall off. Beginners should use a support (like a wall or chair) nearby to grab if needed. People with vestibular (inner ear) issues or who easily get dizzy should be cautious. Avoid locking your knees; keep a soft bend to better absorb movements. Progress gradually: start with shorter duration and increase as your balance improves.,single-leg-stand|single-leg-stand,general-fitness
hip-swirls,Hip Swirls,"Stand with feet shoulder-width apart and hands on hips. Rotate your hips in a wide circular motion (like doing a hula-hoop) in one direction for several rotations, then repeat in the opposite direction.",repetition_based,,flexibility|hips|lower-back,,"Increases flexibility and mobility in the hip joints and lumbar spine by gently moving through a full range of motion. Helps to loosen tight lower back and hip muscles, which can alleviate stiffness and improve posture. This movement also engages the core lightly as it works to stabilize the torso during the circular motion. As a warm-up, hip circles prepare the body for more intense lower-body activities and can reduce risk of injury by promoting joint lubrication and muscle elasticity.","Avoid making fast, jerky movements the circles should be smooth and controlled to prevent any pinching or strain in the lower back. If you feel pain in the hips or back, reduce the range of motion. Those with balance issues can do this with a light fingertip support on a wall. Keep your feet planted firmly and knees slightly relaxed (not locked) during the movement.",standing-side-crunch|high-knees,general-fitness
push-up-jack,Push-Up Jack,"Combine a push-up with a jumping jack motion of the legs: from plank, do a push-up while jumping feet out and in.",repetition_based,,chest|shoulders|triceps|core|legs,,"Combines upper-body strength (push-up works chest, shoulders, triceps) with a cardio and leg component (jumping jack motion engages glutes, thighs, and raises heart rate). It's a full-body movement that improves muscular endurance and explosiveness while burning more calories than standard push-ups by recruiting multiple muscle groups and the cardiovascular system. Great for HIIT or bootcamp routines, it builds functional strength and conditioning simultaneously.","This is a high-impact, advanced move; ensure you can do solid push-ups first. Maintain proper push-up form (flat back, core engaged) even as you jump the feet do not let hips sag or pike excessively. If you have wrist or shoulder issues, use push-up bars or perform on an incline to reduce strain, and step feet out one at a time instead of jumping. Land softly on your toes to cushion impact. Stop if form deteriorates (e.g., shoulders collapsing or lower back straining). Keep the movement controlled; avoid letting momentum slam your elbows at lockout.",burpees|mountain-climbers,general-fitness
hip-crunch,Hip Crunch,"Lie on your back with knees bent at 90° (shins parallel to floor). Use your lower abs to lift your hips and tailbone off the floor in a small crunching motion, then lower back down.",repetition_based,,abs|core|hip-flexors,,"Primarily targets the lower portion of the rectus abdominis by curling the hips upward. Strengthens the muscles that tilt the pelvis, which can contribute to better core stability and help flatten the lower belly. It also engages the hip flexors slightly, and by lifting the hips, it reduces neck strain typical of regular crunches. Over time, hip crunches can improve pelvic control and are useful for developing a strong mind-muscle connection with the lower abs.","Avoid using momentum (like swinging your legs); the lift should be driven by your abdominal contraction. Keep the movement small; you only need to lift your hips a few inches. Place your hands on the floor beside you for stability but do not push down excessively with them. If you have lower back issues, ensure your movement is slow and controlled, and stop if you feel discomfort. Breathe properly (exhale as you lift hips, inhale as you lower) to avoid holding breath and straining.",bicycle-crunches|dead-bug,general-fitness
shin-box,Shin Box Switch,"Sit on the floor with one leg bent in front (90) and the other bent behind (90). Keep torso tall and rotate both legs to the other side, switching the 90/90 position to the opposite side. Repeat fluidly.",repetition_based,,flexibility|hips|glutes,,"Improves hip mobility by working both external rotation (front leg) and internal rotation (back leg) through the switching motion. Gently stretches and strengthens muscles around the hips and glutes, potentially reducing stiffness. Also engages core muscles for stability as you transition, helping with coordination. Regular practice can lead to better range of motion for activities like squatting and sitting cross-legged, and reduce lower back strain by addressing hip tightness.","If very tight in the hips, use hands behind you for support as you switch to avoid falling back. Avoid forcing knees to the ground; work within your comfortable range and let mobility increase over time. If you have knee discomfort, adjust the angles (not a perfect 90/90) or place padding under knees. Move slowly and with control; the goal is mobility, not speed or brute force. It's normal if both knees don't touch the ground initially; don't push down on them.",forward-fold|forward-fold,general-fitness
standing-side-crunch-elbow-to-knee,Standing Side Crunch (Elbow to Knee,"Standing, bring one elbow down and the same-side knee up to meet at your side, crunching the obliques. Return to standing and repeat on the other side.",repetition_based,,core|obliques|abs,,"Works the obliques through lateral flexion combined with a crunch, helping to tighten and strengthen the side abdominal wall. Lifting the knee engages the hip flexors and lower abs, and doing it standing challenges balance and engages stabilizers. This exercise improves functional core strength for movements involving side bending or knee lifting. It can also lightly elevate heart rate when done briskly, adding a small cardio element.","Maintain good posture: avoid hunching forward as you bring elbow to knee; the movement is directly sideways. If balance is an issue, you can perform the crunch motion without lifting the foot fully off the ground (just sliding the foot inward). Avoid yanking on your neck with your hand (if hand is behind head) keep the tension in the obliques. Move in a controlled way to prevent any jerking that might tweak the lower back. If you have lower back problems, do a smaller range of motion to be safe.",high-knees|standing-side-crunch,general-fitness
seated-circle-leg-crunch,Seated Circle Leg Crunch,Sit on the floor leaning back slightly (hands on floor for support). Lift both legs off ground and trace a circle in the air with your feet (moving legs together in a circular motion). Reverse direction after reps.,repetition_based,1,core|abs|obliques|hip-flexors,,"Engages the entire core with emphasis on the lower abs and hip flexors as you keep legs elevated. The circular motion recruits the obliques and improves hip mobility and lower abdominal control. It also challenges coordination and balance in a semi-reclined position, requiring core stability throughout. Over time, it can increase lower abdominal strength, improve coordination of the hip flexors with the abs, and enhance overall core endurance. Its a dynamic move that also lightly works the lower back stabilizers as they prevent you from tipping over.","Keep the movement controlled; don't swing your legs wildly as that could strain the lower back. If you feel back discomfort, lean back slightly more and ensure your core is braced, or make smaller circles. If needed, allow your hands to provide more support (closer to your hips) or slightly bend your knees to reduce leverage. Those with hip flexor tightness might fatigue quickly; start with few circles and gradually increase. Breathe continuouslyavoid holding your breath which is common during intense ab moves.",bicycle-crunches|dead-bug,general-fitness
sitting-lotus-pose-hip-horizontal,Sitting Lotus Pose Hip Horizontal Rotation,"Sit in lotus or cross-legged position. Place hands on hips. Rotate your torso/hips in a horizontal circle while keeping spine upright. Do several circles one way, then reverse.",repetition_based,,flexibility|hips|glutes,,"Increases hip joint flexibility by gently mobilizing in circular motions while in an externally rotated position (lotus). Engages and stretches muscles around the hips (glutes, piriformis, deep rotators) and can relieve tension in the lower back and hips. Also promotes an upright posture by requiring you to maintain a straight spine while rotating. This exercise can improve comfort in seated poses (useful in yoga/meditation) and hip mobility for daily movements. It is calming and can reduce stiffness in the hip and lower back region when done slowly and mindfully.","If you cannot sit in full lotus, a simple cross-legged position is fine; do not force your knees down or foot position as that can hurt the knees. Keep the movement gentle this is more of a mobility stretch, not a strength exercise. If you feel pinching in the hips, make smaller circles or stop. Those with hip replacements or significant hip issues should consult a professional before deep rotations like this. Focus on upright posture to avoid slouching which negates some benefits. Discomfort (mild stretch) is okay, but sharp pain is a red flag to stop.",forward-fold|forward-fold,general-fitness
lying-abduction-leg-raise-on-floor,Lying Abduction Leg Raise on floor,"Lie on one side with bottom leg bent and top leg straight. Raise the top leg upward, then lower it back down. Repeat and switch sides.",repetition_based,,glutes|hips|core,,"Strengthens the hip abductor muscles, primarily the gluteus medius and minimus, which are critical for hip stability and knee alignment. Toning these outer hip/thigh muscles can improve balance and support functional movements like walking and side-stepping. Also lightly engages the core to stabilize your torso. This exercise can help improve lateral hip strength, contributing to better knee tracking and injury prevention (for knees and ankles). It's a simple movement effective for shaping the outer thighs and hips.","Avoid swinging the leg or using momentum; lift and lower in a controlled manner to ensure the hip muscles are doing the work. Don't rotate your torso open or back keep hips stacked to target the correct muscles. If you feel strain in your lower back, you may be lifting too high or rolling backward; adjust form. Individuals with hip bursitis or IT band syndrome should start gently as this can aggravate those if overdone use a small range and build up. Keep neck relaxed (you can rest your head on your bottom arm).",glute-bridges|side-plank,general-fitness
side-bridge-bent-leg,Side Bridge (Bent Leg),"Lie on your side with knees bent 90°. Prop up on your forearm and lift hips, creating a straight line from shoulders to knees (knees stay on floor). Hold briefly, then lower. (Modified side plank on knees.)",time_based,20,core|obliques|shoulders,,"Strengthens the lateral core (obliques and quadratus lumborum) with reduced intensity compared to a full side plank, making it great for beginners. Emphasizes proper hip alignment and glute medius engagement with less strain. Builds foundational strength in the sides of the trunk and improves spinal stability. Also engages shoulder stabilizers (in supporting arm) and glutes (to keep hips forward). Regular practice can help balance core strength and is often used to progress toward full side planks or to support lower back health by targeting side-supporting muscles.","Ensure your elbow is directly under your shoulder to avoid shoulder strain. Keep your body in one line from head to knees don't let your hips twist or drop backward. If even this is too challenging, you can start with only a brief hold or with your bottom hip on the floor and just pushing up slightly. Avoid arching your neck; keep it in line with your spine. People with shoulder injuries should be cautious; they might need to do this on an extended arm (hand) or skip until the shoulder is stronger. Breathe throughout; don't hold your breath during the hold.",plank|bird-dog,general-fitness
leg-pull-side,Leg Pull Side,"From a side plank position (on one hand or forearm), lift the top leg straight up and down (like a side plank with leg raise).",repetition_based,,core|obliques|shoulders|hip-flexors|glutes,,"An advanced Pilates exercise that strengthens the core, shoulders, and hip flexors. Combines elements of a plank with side-lying leg raises to improve balance, stability, and strength particularly in the obliques and hip region. Lifting the top leg targets the outer hip (glute medius) and thigh as well. Builds considerable shoulder stability and total-body control, enhancing core and lateral hip strength beyond a basic side plank.","Very challenging master regular side plank and simpler side leg raises first. Keep hips elevated and inline; avoid letting them sag when lifting the leg. The body should remain in one plane (don't roll forward/backward). If balance is an issue, try it on your forearm or with your bottom knee down initially. People with shoulder or wrist problems might need to skip or modify (use forearm or do just side plank holds). Don't swing the top leg; lift with control to avoid yanking on lower back or losing balance. Exhale when lifting the leg to help core engagement.",side-plank|plank,general-fitness
power-clean-thruster,Power Clean Thruster,"Perform a power clean to bring a barbell from floor to shoulders, then immediately do a thruster (front squat + push press overhead).",repetition_based,,quads|glutes|hamstrings|shoulders|triceps|core,,"A highly efficient full-body exercise that develops strength, power, and cardiovascular endurance simultaneously. The power clean portion engages the hips, hamstrings, glutes, back, and arms explosively, while the thruster works the quads, glutes, shoulders, and triceps in a fluid squat-to-press motion. Together, this complex improves coordination and athletic power (triple extension and explosive leg/arm drive). It elevates heart rate, aiding conditioning, and trains the body to move a weight from ground to overhead using nearly every major muscle group.","This is technically demanding; master cleans and thrusters separately first. Use a weight you can handle with good form too heavy can lead to injury especially as you fatigue. Maintain a flat back and engaged core during the clean to protect your spine, and ensure you catch the bar in a strong front rack (elbows up). In the thruster, squat at least to parallel, drive through heels, and lock out overhead without hyperextending your lower back. Those with mobility limitations in shoulders or wrists should address those before attempting full thrusters or modify (e.g., use dumbbells). Always drop the bar if you lose controlbetter to fail safely than risk injury by muscling through bad form. Keep repetitions relatively low to focus on explosive quality.",burpees|push-ups,general-fitness
